Dataset,ARIMA_MAE,ARIMA_RMSE,ARIMA_MAPE,ARIMA_R2,DLinear_MAE,DLinear_RMSE,DLinear_MAPE,DLinear_R2,LSTM_MAE,LSTM_RMSE,LSTM_MAPE,LSTM_R2
ETTh1,1.2154,1.75,329.7559,-0.8275,0.5849,0.8652,287.4997,0.5817,0.6913,0.935,344.2611,0.5115
ETTh2,0.3177,0.4013,665.1239,-0.382,0.4497,0.6218,196.2873,0.4962,0.5545,0.72,159.7769,0.3245
ETTm1,0.5536,0.7448,317.4039,-0.3801,0.5523,0.7699,192.7484,0.6682,0.6536,0.8746,231.0716,0.5718
ETTm2,0.4026,0.4834,1365.46,-0.8383,0.3652,0.5084,205.4822,0.6594,0.4007,0.5405,208.4233,0.615
air_quality,0.0343,0.2443,3.1177,-0.0158,0.3628,0.6236,51.712,0.0226,0.593,0.7914,95.8062,-0.5744
bitcoin,0.1587,0.1832,36.271,-1.9412,0.559,0.7982,22.1606,0.828,1.8263,2.3113,70.453,-0.4428
electricity,0.1099,0.171,35.4843,-0.0825,0.4092,0.6612,65.2599,0.476,0.4977,0.6784,80.5278,0.4485
exchange_rate,0.3938,0.448,22.8672,-2.767,0.6767,0.8935,153.5122,0.4444,0.7105,0.9516,190.5981,0.3698
national_illness,0.1777,0.2132,9.0503,-2.2758,0.0096,0.0165,0.3675,0.9962,1.0684,1.0964,40.1241,-15.9214
traffic,0.4029,0.5263,306.6656,-1.1248,0.3264,0.7285,228.3769,0.5393,0.3128,0.7286,199.6232,0.5391
weather,0.0566,0.0694,5.6022,-0.2779,0.1816,0.2685,107.8893,0.9489,0.2865,0.4246,106.2194,0.8723
